"symb","open_time","high","low","close","volume","close_time","quote_asset_vol","num_trades","takerbuy_baseasset_vol","takerbuy_quoteasset_vol"
"BTCUSDT","2021-01-11T00:00:00.000000Z",38264.74,30420.0,35404.47,249131.53994299998,"2021-01-11T23:59:59.999999Z",8.42687977074001E9,4431451,122133.40619000001,4.1331162829453015E9
"BTCUSDT","2021-01-12T00:00:00.000000Z",36628.0,32531.0,34051.24,133948.151996,"2021-01-12T23:59:59.999999Z",4.651302423484117E9,2674145,65098.310196,2.261732478830051E9
"BTCUSDT","2021-01-13T00:00:00.000000Z",37850.0,32380.0,37371.38,124477.91493799999,"2021-01-13T23:59:59.999999Z",4.322876606419626E9,2514289,63981.038305999995,2.222872691371912E9
"BTCUSDT","2021-01-14T00:00:00.000000Z",40100.0,36701.23,39144.5,102950.389421,"2021-01-14T23:59:59.999999Z",3.9748266381450887E9,2297466,51264.467092,1.9794425930499995E9
"BTCUSDT","2021-01-15T00:00:00.000000Z",39747.76,34408.0,36742.22,118300.92091599999,"2021-01-15T23:59:59.999999Z",4.371588898681637E9,2560801,57738.03422,2.1337238127598622E9
"BTCUSDT","2021-01-16T00:00:00.000000Z",37950.0,35357.8,35994.98,86348.431508,"2021-01-16T23:59:59.999999Z",3.1788403361492844E9,2066363,42420.423736,1.5631601220113344E9
"BTCUSDT","2021-01-17T00:00:00.000000Z",36852.5,33850.0,35828.61,80157.727384,"2021-01-17T23:59:59.999999Z",2.843103040240664E9,1860642,39513.638561,1.4026486328512247E9
"BTCUSDT","2021-01-18T00:00:00.000000Z",37469.83,34800.0,36631.270000000004,70698.11875000001,"2021-01-18T23:59:59.999999Z",2.554843260524399E9,1707766,35621.506047999996,1.289347187166529E9
"BTCUSDT","2021-01-19T00:00:00.000000Z",37850.0,35844.06,35891.49,79611.30776899999,"2021-01-19T23:59:59.999999Z",2.935348499344214E9,1939371,38704.68162,1.4282357098519692E9
"BTCUSDT","2021-01-20T00:00:00.000000Z",36415.31,33400.0,35468.23,89368.422918,"2021-01-20T23:59:59.999999Z",3.1267210935207763E9,2234539,42546.634076999995,1.48928996843647E9
"BTCUSDT","2021-01-21T00:00:00.000000Z",35600.0,30071.0,30850.13,131803.18292599998,"2021-01-21T23:59:59.999999Z",4.2812205739354305E9,2820752,61805.961523,2.0093898212127595E9
"BTCUSDT","2021-01-22T00:00:00.000000Z",33826.53,28850.0,32945.17,142971.684049,"2021-01-22T23:59:59.999999Z",4.483295872022273E9,2707810,70150.188455,2.20116157049867E9
"BTCUSDT","2021-01-23T00:00:00.000000Z",33456.0,31390.16,32078.0,64595.287675,"2021-01-23T23:59:59.999999Z",2.0890982957584367E9,1700056,32680.776127999998,1.0571141745522271E9
"BTCUSDT","2021-01-24T00:00:00.000000Z",33071.0,30900.0,32259.9,57978.037965999996,"2021-01-24T23:59:59.999999Z",1.8646096653657014E9,1528287,27826.119197,8.957211220169543E8
"BTCUSDT","2021-01-25T00:00:00.000000Z",34875.0,31910.0,32254.2,88499.226921,"2021-01-25T23:59:59.999999Z",2.9587592885635686E9,2106548,44489.524132,1.4884320344924214E9
"BTCUSDT","2021-01-26T00:00:00.000000Z",32921.88,30837.37,32467.77,84972.20691000001,"2021-01-26T23:59:59.999999Z",2.7085453644946413E9,2010392,42402.312916999996,1.3526780988663208E9
"BTCUSDT","2021-01-27T00:00:00.000000Z",32557.29,29241.72,30366.15,95911.961711,"2021-01-27T23:59:59.999999Z",2.9580814216415586E9,2065953,46664.381638,1.4400797851205118E9
"BTCUSDT","2021-01-28T00:00:00.000000Z",33783.98,29842.100000000002,33364.86,92621.145617,"2021-01-28T23:59:59.999999Z",2.953553214065682E9,2060660,46067.782326,1.4689561564850712E9
"BTCUSDT","2021-01-29T00:00:00.000000Z",38531.9,31915.4,34252.200000000004,231827.005626,"2021-01-29T23:59:59.999999Z",8.195593336228467E9,4403349,116537.24784699999,4.1219410336373253E9
"BTCUSDT","2021-01-30T00:00:00.000000Z",34933.0,32825.0,34262.88,84889.68134000001,"2021-01-30T23:59:59.999999Z",2.8845000629380784E9,2201040,42418.467099,1.4419814006536384E9
"BTCUSDT","2021-01-31T00:00:00.000000Z",34342.69,32171.670000000002,33092.98,68742.280384,"2021-01-31T23:59:59.999999Z",2.2896410457580123E9,1707064,32480.447357999998,1.0825025515205712E9
"BTCUSDT","2021-02-01T00:00:00.000000Z",34717.270000000004,32296.16,33526.37,82718.27688199999,"2021-02-01T23:59:59.999999Z",2.7917766580056057E9,1810492,41855.841486,1.413158966728098E9
"BTCUSDT","2021-02-02T00:00:00.000000Z",35984.33,33418.0,35466.24,78056.65988,"2021-02-02T23:59:59.999999Z",2.7163218963176084E9,1789672,39216.563106,1.3647909646368995E9
"BTCUSDT","2021-02-03T00:00:00.000000Z",37662.63,35362.38,37618.87,80784.333663,"2021-02-03T23:59:59.999999Z",2.9512327881843047E9,1881740,39863.07506,1.4562480461419172E9
"BTCUSDT","2021-02-04T00:00:00.000000Z",38708.270000000004,36161.950000000004,36936.66,92080.735898,"2021-02-04T23:59:59.999999Z",3.4526690221532927E9,2211866,45516.213690000004,1.7077100138895383E9
"BTCUSDT","2021-02-05T00:00:00.000000Z",38310.12,36570.0,38290.24,66681.334275,"2021-02-05T23:59:59.999999Z",2.5092782917515864E9,1853253,32756.385030999998,1.2327138798381383E9
"BTCUSDT","2021-02-06T00:00:00.000000Z",40955.51,38215.94,39186.94,98757.311183,"2021-02-06T23:59:59.999999Z",3.92209514892815E9,2291646,52015.513362,2.065180747347224E9
"BTCUSDT","2021-02-07T00:00:00.000000Z",39700.0,37351.0,38795.69,84363.679763,"2021-02-07T23:59:59.999999Z",3.256521384240611E9,1976357,40764.388958999996,1.574482907563902E9
"BTCUSDT","2021-02-08T00:00:00.000000Z",46794.450000000004,37988.89,46374.87,138597.536914,"2021-02-08T23:59:59.999999Z",5.881536976635698E9,3230961,72345.89156799999,3.069313839441136E9
"BTCUSDT","2021-02-09T00:00:00.000000Z",48142.19,44961.090000000004,46420.42,115499.861712,"2021-02-09T23:59:59.999999Z",5.386255398017187E9,3119034,57429.564347,2.6794510364918036E9
"BTCUSDT","2021-02-10T00:00:00.000000Z",47310.0,43727.0,44807.58,97154.18220000001,"2021-02-10T23:59:59.999999Z",4.431650130251104E9,2891592,47971.985731,2.190231238817587E9
"BTCUSDT","2021-02-11T00:00:00.000000Z",48678.9,43994.020000000004,47969.51,89561.081454,"2021-02-11T23:59:59.999999Z",4.185630934410895E9,2570949,46138.336740000006,2.1583359226923227E9
"BTCUSDT","2021-02-12T00:00:00.000000Z",48985.8,46125.0,47287.600000000006,85870.035697,"2021-02-12T23:59:59.999999Z",4.0805719089676614E9,2418841,41841.039135,1.9904729189285848E9
"BTCUSDT","2021-02-13T00:00:00.000000Z",48150.0,46202.53,47153.69,63768.097399,"2021-02-13T23:59:59.999999Z",3.0077101474181595E9,2058823,30996.309858999997,1.4624953999928114E9
"BTCUSDT","2021-02-14T00:00:00.000000Z",49707.43,47014.17,48577.79,73735.47553299999,"2021-02-14T23:59:59.999999Z",3.584808348834732E9,2090070,38752.156681,1.8840099210628607E9
"BTCUSDT","2021-02-15T00:00:00.000000Z",49010.92,45570.79,47911.100000000006,79398.15678399999,"2021-02-15T23:59:59.999999Z",3.782219060664722E9,2313155,38176.364661,1.8192516557814271E9
"BTCUSDT","2021-02-16T00:00:00.000000Z",50689.18,47003.62,49133.450000000004,88813.266298,"2021-02-16T23:59:59.999999Z",4.349983777692368E9,2199849,45608.603837999995,2.236524604988356E9
"BTCUSDT","2021-02-17T00:00:00.000000Z",52618.74,48947.0,52119.71,85743.637818,"2021-02-17T23:59:59.999999Z",4.365831514815298E9,2514374,45055.446241,2.294099235280022E9
"BTCUSDT","2021-02-18T00:00:00.000000Z",52530.0,50901.9,51552.600000000006,60758.046954,"2021-02-18T23:59:59.999999Z",3.149973077487466E9,1891592,28893.358623,1.4982316358439088E9
"BTCUSDT","2021-02-19T00:00:00.000000Z",56368.0,50710.200000000004,55906.0,79659.77802000001,"2021-02-19T23:59:59.999999Z",4.251167827684246E9,2339215,40556.020246,2.1648713102239413E9
"BTCUSDT","2021-02-20T00:00:00.000000Z",57700.46,53863.93,55841.19,80948.20531399999,"2021-02-20T23:59:59.999999Z",4.5518908598512745E9,2642846,38636.066274,2.1728338784409647E9
"BTCUSDT","2021-02-21T00:00:00.000000Z",58352.8,55477.590000000004,57408.57,58166.708511,"2021-02-21T23:59:59.999999Z",3.3179982633478894E9,1950533,29506.089085,1.6831070881573696E9
"BTCUSDT","2021-02-22T00:00:00.000000Z",57508.47,47622.0,54087.67,134019.434944,"2021-02-22T23:59:59.999999Z",7.213386720436798E9,3313083,63677.661979,3.4272171545209727E9
"BTCUSDT","2021-02-23T00:00:00.000000Z",54183.590000000004,44892.56,48891.0,169375.025051,"2021-02-23T23:59:59.999999Z",8.215839131243384E9,3825196,82464.142992,4.002195292097356E9
"BTCUSDT","2021-02-24T00:00:00.000000Z",51374.99,46988.69,49676.200000000004,91881.209252,"2021-02-24T23:59:59.999999Z",4.574033001379536E9,2194532,45750.714831,2.2785666061383467E9
"BTCUSDT","2021-02-25T00:00:00.000000Z",52041.73,46674.340000000004,47073.73,83310.673121,"2021-02-25T23:59:59.999999Z",4.152188728141615E9,2305679,40610.664759,2.0260685176463616E9
"BTCUSDT","2021-02-26T00:00:00.000000Z",48424.11,44106.78,46276.87,109423.200663,"2021-02-26T23:59:59.999999Z",5.086374532734614E9,2371766,53626.904621999995,2.494190193252283E9
